15,6,3,2,3
11,10,2,3,2
9,12,2,3,0
11,9,5,1,2
14,7,3,2,1
13,8,3,1,4
8,13,1,1,1
8,11,1,3,0
13,9,2,4,0
14,7,3,1,2
12,10,1,2,1
7,11,1,3,0
14,7,5,0,2
14,6,3,3,0
12,10,3,0,1
7,13,1,3,0
12,8,4,2,0
5,12,2,3,0
10,11,2,2,1
14,7,3,2,2
11,10,3,3,0
10,10,4,1,1
10,11,1,2,1
11,8,4,1,1
13,7,1,3,1
12,11,3,2,2
13,6,4,3,0
9,12,3,1,2
13,7,2,4,1
7,11,2,3,0
14,5,6,0,4
11,10,2,2,1
13,7,3,1,1
14,7,4,3,2
14,7,3,3,2
15,5,4,3,1
15,7,3,3,0
15,6,4,0,3
6,14,0,3,2
15,6,4,3,0
14,7,3,2,1
12,9,3,3,0
12,9,4,2,0
12,9,3,3,1
15,6,4,1,3
13,8,5,1,2
14,7,2,3,3
14,7,3,2,1
12,10,2,2,2
11,10,2,3,1
