7,12,2,1,3
13,10,2,2,1
14,10,1,3,1
15,5,5,2,0
10,9,4,2,2
10,11,2,2,1
14,8,3,2,0
14,6,4,1,3
4,14,0,3,0
8,12,1,2,0
10,10,3,3,0
13,10,0,4,0
13,7,3,1,2
14,6,4,1,2
12,7,4,1,3
11,9,3,1,0
14,9,2,4,0
14,6,3,3,0
13,8,4,2,1
11,9,3,2,1
13,7,3,2,2
15,10,1,3,2
11,9,2,3,2
10,10,3,1,2
14,5,4,2,1
9,10,4,1,2
12,8,3,2,0
14,6,4,0,4
9,14,1,2,0
14,7,4,1,1
12,10,1,3,1
13,7,5,0,1
7,11,3,2,1
14,7,2,2,2
13,8,4,1,1
14,7,3,3,0
14,7,5,0,1
12,8,2,3,0
3,15,1,2,1
6,14,0,3,1
4,15,1,3,1
14,7,3,3,0
11,9,2,3,2
14,10,2,3,1
15,7,3,3,0
12,10,1,3,0
9,10,2,2,1
15,8,3,2,1
15,7,3,2,0
7,13,1,3,1
