5.312500,7.625000,12.468750,5.765625,1.789062
6.679688,7.093750,12.421875,5.789062,2.171875
6.503906,7.187500,12.046875,6.234375,1.734375
4.628906,8.468750,11.859375,6.140625,1.804688
3.886719,8.750000,11.812500,6.164062,1.726562
3.183594,9.531250,11.390625,6.117188,1.828125
4.238281,8.781250,11.859375,5.929688,2.406250
4.257812,9.062500,11.343750,6.187500,1.664062
7.207031,7.000000,12.000000,6.187500,1.867188
4.609375,8.531250,11.484375,5.976562,2.242188
2.675781,10.187500,10.968750,6.515625,1.968750
5.527344,7.437500,12.375000,5.554688,2.117188
5.917969,7.812500,11.765625,6.328125,1.421875
5.039062,8.437500,11.671875,6.351562,1.398438
5.898438,7.156250,12.468750,5.835938,1.859375
6.542969,6.968750,12.703125,5.554688,2.203125
4.589844,8.343750,11.718750,6.281250,1.781250
6.230469,7.125000,12.093750,5.648438,2.250000
4.335938,8.812500,11.906250,5.859375,2.460938
4.355469,8.562500,11.812500,6.023438,1.820312
